Tm,conference,division
Philadelphia Eagles,NFC,NFC_e
Los Angeles Rams,NFC,NFC_w
New England Patriots,AFC,AFC_e
Kansas City Chiefs,AFC,AFC_w
New Orleans Saints,NFC,NFC_s
Minnesota Vikings,NFC,NFC_n
Seattle Seahawks,NFC,NFC_w
Pittsburgh Steelers,AFC,AFC_n
Jacksonville Jaguars,AFC,AFC_s
Buffalo Bills,AFC,AFC_e
Dallas Cowboys,NFC,NFC_e
Houston Texans,AFC,AFC_s
Green Bay Packers,NFC,NFC_n
Atlanta Falcons,NFC,NFC_s
Carolina Panthers,NFC,NFC_s
Los Angeles Chargers,AFC,AFC_w
Washington Redskins,NFC,NFC_e
Oakland Raiders,AFC,AFC_w
Miami Dolphins,AFC,AFC_e
Detroit Lions,NFC,NFC_n
Denver Broncos,AFC,AFC_w
Tennessee Titans,AFC,AFC_s
New York Jets,AFC,AFC_e
Tampa Bay Buccaneers,NFC,NFC_s
Chicago Bears,NFC,NFC_n
Baltimore Ravens,AFC,AFC_n
Cincinnati Bengals,AFC,AFC_n
Arizona Cardinals,NFC,NFC_w
New York Giants,NFC,NFC_e
Indianapolis Colts,AFC,AFC_s
San Francisco 49ers,NFC,NFC_w
Cleveland Browns,AFC,AFC_n
