GP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.427,0.573,,,,,,,,,,,,,,
2,0.364,0.51,0.621,,,,,,,,,,,,,
3,0.306,0.443,0.569,0.668,,,,,,,,,,,,
4,0.267,0.399,0.496,0.616,0.704,,,,,,,,,,,
5,0.233,0.346,0.441,0.553,0.667,0.756,,,,,,,,,,
6,0.178,0.301,0.401,0.509,0.592,0.698,0.791,,,,,,,,,
7,0.164,0.273,0.354,0.463,0.538,0.637,0.737,0.837,,,,,,,,
8,0.138,0.239,0.318,0.409,0.499,0.598,0.671,0.769,0.859,,,,,,,
9,0.104,0.197,0.287,0.373,0.449,0.55,0.632,0.706,0.8,0.859,,,,,,
10,0.107,0.156,0.258,0.339,0.42,0.499,0.588,0.658,0.744,0.807,0.875,,,,,
11,0.075,0.151,0.234,0.305,0.387,0.462,0.543,0.612,0.69,0.776,0.822,0.893,,,,
12,0.078,0.135,0.21,0.276,0.352,0.425,0.508,0.573,0.643,0.719,0.801,0.839,0.896,,,
13,0.063,0.108,0.191,0.259,0.319,0.395,0.47,0.532,0.602,0.678,0.749,0.81,0.863,0.896,,
14,0,0.083,0.17,0.242,0.293,0.363,0.436,0.5,0.568,0.633,0.706,0.766,0.833,0.881,0.938,
15,0,0.075,0.142,0.214,0.271,0.336,0.398,0.469,0.535,0.599,0.662,0.73,0.792,0.841,0.913,1
